subject_id,site_id,slice_idx,raw_prediction,harmonized_prediction,psnr,mse,mae,pixel_cosine_similarity,cross_correlation,subject_wasserstein_raw_harm,subject_kl_raw_harm,exact_identity,near_identity,output_below_zero_fraction,output_above_one_fraction
CMU_50648,0,99,0,0,28.157366174690416,0.0015284927479751154,0.027091232941342188,0.9961367266091695,0.9909157494711186,0.016511270502445715,0.018187478418218137,False,False,0.0,0.0
CMU_50661,0,58,0,0,28.332419923645077,0.001468108008148529,0.024237222660412734,0.9958090884268609,0.990172030562999,0.012412541800467587,0.029778633173062678,False,False,0.0,0.0
Caltech_51463,1,124,1,1,17.933873947222747,0.016092095648616387,0.08339051841443157,0.9961443274941135,0.9934097857870081,0.08332468412163385,0.22864848274858982,False,False,0.0,0.0
Caltech_51470,1,150,1,1,27.99340591901959,0.0015873014321571488,0.026393880917219226,0.9964973615256686,0.9924597384223766,0.01821017506329564,0.03854374288603356,False,False,0.0,0.0
Caltech_51476,1,150,1,1,28.19939830135619,0.001513770961172366,0.024667483660157898,0.9965127867540122,0.9931361049966786,0.016450383751935617,0.03267005206305998,False,False,0.0,0.0
Caltech_51484,1,151,1,1,28.498935439130516,0.0014128838341969908,0.024461729740331013,0.99661420013797,0.993606367239293,0.017764927762819245,0.027872759086830744,False,False,0.0,0.0
KKI_50786,2,124,2,2,27.523999937357644,0.0017684794037902338,0.022779522633171286,0.9920987951443889,0.9855420893622566,0.014806909885620275,0.042808507025745936,False,False,0.0,0.0
KKI_50800,2,125,2,2,26.678397709515203,0.002148623043089822,0.026889956028756577,0.9921315149213383,0.9842403658476727,0.015276445456041262,0.03894534738794249,False,False,0.0,0.0
KKI_50810,2,124,2,2,28.56055799666529,0.001392977816809224,0.020304214751492772,0.992553414200426,0.9858504493443604,0.009993704657519892,0.020731919541077223,False,False,0.0,0.0
KKI_50814,2,127,2,2,21.964420346731846,0.006361477058675454,0.047774783644361205,0.9929183252036925,0.9867164247863079,0.04163912199813495,0.09014835542756292,False,False,0.0,0.0
KKI_50823,2,105,2,2,26.28257861459684,0.0023536513932426104,0.026620339363780464,0.9907037836912549,0.982848581340082,0.019534766852309336,0.02411474482451483,False,False,0.0,0.0
