method,subject_id,site_id,target_wasserstein_raw,target_kl_raw,target_wasserstein_harmonized,target_kl_harmonized
neurocombat,CMU_50648,0,0.07940772559128269,0.14695252238130585,0.1105431444596352,1.0516959870505982
neurocombat,CMU_50661,0,0.0919074755306931,0.19854679336710754,0.13216275434647476,1.1302216638897882
neurocombat,Caltech_51463,1,0.11421369529930868,0.22470630790196686,0.15945365703251874,1.1115054174911836
neurocombat,Caltech_51470,1,0.11630555351306969,0.216668258532784,0.1189395134740934,0.6046209314587734
neurocombat,Caltech_51476,1,0.122910073553857,0.23544254620570382,0.12068177333008263,0.6865647052291621
neurocombat,Caltech_51484,1,0.0553992488606734,0.06284908776984223,0.0833008322038772,0.7463980017942382
neurocombat,KKI_50786,2,0.16724428491923005,0.7206605301457563,0.12994234631200274,1.0351758414775105
neurocombat,KKI_50800,2,0.12915290697946516,0.5101627425501422,0.09800981064399605,0.5496670383724584
neurocombat,KKI_50810,2,0.1577901079289211,0.6694823596587183,0.12079692687508141,0.7795257133590657
neurocombat,KKI_50814,2,0.1191150032731947,0.4643080292490784,0.090318876125989,0.6759857869840282
neurocombat,KKI_50823,2,0.16524766679731506,0.7195642476086045,0.11927492754643548,1.1194799093127699
neurocombat,Leuven_50690,3,0.06399692508250379,0.20794528463275397,0.098857557477504,0.48374787777352757
neurocombat,Leuven_50697,3,0.09062926265226275,0.28035613817320254,0.11345212036897127,0.5122368721535356
neurocombat,Leuven_50703,3,0.08715675103193611,0.27688891627162965,0.11404053615830012,0.5504990998421705
neurocombat,Leuven_50711,3,0.052789235068149976,0.2170144566021331,0.07896693757668129,0.46862462774572544
neurocombat,Leuven_50732,3,0.04924546303602132,0.1572876155765248,0.08064244908149451,0.3946098242904818
neurocombat,Leuven_50736,3,0.060741853100182354,0.18182967411247442,0.09735545729908925,0.5328978714281053
neurocombat,Leuven_50745,3,0.05916116905268542,0.27062750500361804,0.08603311463995961,0.4395414899652463
neurocombat,MaxMun_51332,4,0.16331540816805065,0.5421874880693327,0.10949391529383581,1.1438295418204676
neurocombat,MaxMun_51347,4,0.02177617699687057,0.045683336989299834,0.1216025245484616,2.954974997254518
neurocombat,MaxMun_51357,4,0.04507710355068467,0.07320003793688085,0.11484392117647915,2.7622452099813395
neurocombat,MaxMun_51361,4,0.04809266153155444,0.08274122801174867,0.07241561011148906,2.4920458969394765
neurocombat,MaxMun_51370,4,0.0686199176987778,0.13611082839254537,0.1440406792366058,2.179298727086022
neurocombat,OHSU_50148,6,0.02429566718629471,0.0411759562674108,0.06560651735924602,0.8565697686063163
neurocombat,OHSU_50158,6,0.07653758713614162,0.07881981921723678,0.12517903587478202,1.6380513052074561
neurocombat,OHSU_50163,6,0.02086947313742022,0.03182721634815594,0.07787566191819384,1.102793685208263
neurocombat,Olin_50109,7,0.06583548465421712,0.13975279867651602,0.10283854145119208,0.4991097093424871
neurocombat,Olin_50116,7,0.025853637064243748,0.04303268517396124,0.06274595152495427,0.4074075701850909
neurocombat,Olin_50130,7,0.021918877899279425,0.04217078446691848,0.05734817489298707,0.3903681294316931
neurocombat,Pitt_50016,8,0.10081624291281618,0.10310337460840704,0.13968514462302276,1.345138279748353
neurocombat,Pitt_50032,8,0.05176313897037841,0.07150073221513759,0.07024443281506576,0.5925438699080712
neurocombat,Pitt_50042,8,0.06264505979041453,0.11509033058820103,0.07017910117136643,0.8633270724697978
neurocombat,Pitt_50046,8,0.05168289529244386,0.0633925858693924,0.11107184494636776,0.8253758513184914
neurocombat,Pitt_50055,8,0.05951834957079647,0.1336408612514534,0.05692665646373395,0.8462515112050636
neurocombat,SBL_51562,9,0.06631105605075742,0.17889724657073594,0.11445742209524452,0.5170277325062383
