row_idx,subject_id,site_id,slice_idx,split
0,CMU_50642,0,61,train
1,CMU_50643,0,128,train
2,CMU_50644,0,99,train
3,CMU_50645,0,61,train
4,CMU_50646,0,116,train
5,CMU_50647,0,122,train
6,CMU_50650,0,52,train
7,CMU_50651,0,130,train
8,CMU_50653,0,151,train
9,CMU_50654,0,102,train
10,CMU_50655,0,125,train
11,CMU_50657,0,130,train
12,CMU_50658,0,151,train
13,CMU_50659,0,151,train
14,CMU_50660,0,152,train
15,CMU_50663,0,124,train
16,CMU_50664,0,117,train
17,CMU_50665,0,116,train
18,CMU_50666,0,130,train
19,CMU_50667,0,153,train
20,CMU_50668,0,117,train
21,CMU_50669,0,150,train
22,Caltech_51456,1,150,train
23,Caltech_51457,1,150,train
24,Caltech_51458,1,130,train
25,Caltech_51459,1,153,train
26,Caltech_51460,1,156,train
27,Caltech_51461,1,99,train
28,Caltech_51462,1,126,train
29,Caltech_51464,1,104,train
30,Caltech_51465,1,69,train
31,Caltech_51467,1,150,train
32,Caltech_51468,1,130,train
33,Caltech_51469,1,130,train
34,Caltech_51471,1,156,train
35,Caltech_51472,1,150,train
36,Caltech_51473,1,130,train
37,Caltech_51475,1,150,train
38,Caltech_51477,1,152,train
39,Caltech_51479,1,154,train
40,Caltech_51480,1,156,train
41,Caltech_51481,1,155,train
42,Caltech_51482,1,126,train
43,Caltech_51483,1,150,train
44,Caltech_51485,1,151,train
45,Caltech_51486,1,150,train
46,Caltech_51488,1,150,train
47,Caltech_51489,1,150,train
48,Caltech_51490,1,155,train
49,Caltech_51491,1,152,train
50,Caltech_51492,1,150,train
51,Caltech_51493,1,155,train
52,KKI_50772,2,124,train
53,KKI_50773,2,102,train
54,KKI_50774,2,129,train
55,KKI_50775,2,124,train
56,KKI_50776,2,124,train
57,KKI_50777,2,125,train
58,KKI_50778,2,124,train
59,KKI_50780,2,124,train
60,KKI_50781,2,124,train
61,KKI_50783,2,124,train
62,KKI_50784,2,124,train
63,KKI_50785,2,124,train
64,KKI_50787,2,125,train
65,KKI_50788,2,125,train
66,KKI_50789,2,125,train
67,KKI_50791,2,105,train
68,KKI_50793,2,130,train
69,KKI_50795,2,124,train
70,KKI_50796,2,124,train
71,KKI_50797,2,124,train
72,KKI_50798,2,124,train
73,KKI_50799,2,130,train
74,KKI_50801,2,124,train
